fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Dec,27,RAJASTHAN,2705,JHUNJHUNU,2895987,194.091938303863,41,154,1141.055964766,2141,2,5472,1341802,712501,70911,35320,4767,486.75693,4232.142404766,32358,35519,85431,167634,506,192580,362550,7613,2604.32951,900598,50,29.09,58.24,99.95,NA
2024-2025,Dec,27,RAJASTHAN,2707,BHARATPUR,3243316,214.174509730044,29,656,1233.956099992,3058,0,6676,2399321,644003,108261,34576,8316,234.06035,6606.750438592,82634,101986,179605,390976,574,379161,796811,9734,5138.7339886,1584072,41,14.35,42.77,99.89,NA
2024-2025,Dec,27,RAJASTHAN,2711,DAUSA,2845293,207.143482886283,26,172,1156.321279696,1631,1,6677,1251686,296642,50024,390940,72045,343.71056,4092.817814896,47173,54028,124385,232136,8,216599,388778,8308,2592.7859752,1034710,53,21.56,56.52,99.89,NA
2024-2025,Dec,27,RAJASTHAN,2721,AJMER,14281541,198.84723190286,35,953,9558.66887897,7957,0,15073,10474459,1568362,114497,312368,23452,1171.21246,31558.05311727,293414,320884,412360,733723,148,490591,870588,23030,20828.1717783,8565799,24,26.16,45.54,99.98,NA
2024-2025,Dec,27,RAJASTHAN,2726,UDAIPUR,13423932,216.183270847521,48,783,13203.573541293,25255,1,29649,12202770,410930,29502,9103744,562950,1038.40677,40622.327631293,253958,312511,386130,793313,12047,570017,1153936,54904,26380.34732,8712572,65,23.32,37.37,99.73,NA
2024-2025,Dec,27,RAJASTHAN,2727,DUNGARPUR,14133499,217.919043036776,54,5311,17525.446261667,18577,0,27384,17697608,466243,20917,13176948,524930,454.0882,56545.992455667,323735,430057,364633,723961,10625,409645,804195,45961,38566.457994,12751474,39,15.26,51.62,99.99,NA
2024-2025,Dec,27,RAJASTHAN,2730,KOTA,5024587,205.841500799452,40,487,597.091493265,1951,0,8384,3827620,1070416,69194,680119,44208,180.10364,8656.025586165,95386,117197,122793,249332,492,166513,330286,10335,7878.8304529,2680749,51,32.65,26.45,99.96,NA
2024-2025,Dec,27,RAJASTHAN,2704,CHURU,4906986,214.324235835612,41,330,8281.62938155901,7317,0,15002,6530074,2072716,159768,63815,4904,397.03056,22674.191141559,156455,198383,264782,527357,672,366514,719722,22319,13995.5312,4056874,62,57.51,25.12,99.87,NA
2024-2025,Dec,27,RAJASTHAN,2717,BARMER,22097412,271.072370657971,54,1118,29771.7690762309,62579,0,83885,18957585,2822517,181017,1048694,71560,1725.53305,82886.0772052309,350945,565944,587887,1120942,16845,688751,1308805,146464,51388.775079,10544334,92,77.32,6.4,99.99,NA
2024-2025,Dec,27,RAJASTHAN,2720,PALI,8762996,186.386340460422,37,440,2963.948405793,6560,2,10573,6001796,1381754,139072,905143,57241,500.49216,14650.968492093,158034,172391,276378,605305,1971,402460,866895,17133,11186.5279263,5060948,46,16.59,44.38,99.94,NA
2024-2025,Dec,27,RAJASTHAN,2724,BHILWARA,13793302,211.418858917909,34,1055,16942.498832532,15994,1,31688,12443259,2257462,150329,1538262,92902,955.28602,44205.181042532,356830,411889,477657,850283,530,533023,939708,47682,26307.39619,9654081,47,26.34,30.83,99.97,NA
